id,altitude,availableBikes,availableDocks,city,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
3467,"",16,26,"","",2019-06-12T19:17:13.000-07:00,40.72494672359416,"",-74.00165855884552,"",W Broadway & Spring St.,"",W Broadway & Spring St.,1,In Service,false,42
479,"",9,20,"","",2019-06-12T19:15:19.000-07:00,40.76019252,"",-73.9912551,"",9 Ave & W 45 St,"",9 Ave & W 45 St,1,In Service,false,31
3179,"",0,23,"","",2019-06-12T19:15:47.000-07:00,40.698617,"",-73.941342,"",Park Ave & Marcus Garvey Blvd,"",Park Ave & Marcus Garvey Blvd,1,In Service,false,23
3461,"",2,30,"","",2019-06-12T19:15:41.000-07:00,40.714851505262516,"",-74.01122331619263,"",Murray St & Greenwich St,"",Murray St & Greenwich St,1,In Service,false,33
3533,"",7,27,"","",2019-06-12T19:16:13.000-07:00,40.8114323,"",-73.9518776,"",St. Nicholas Ave & W 126 St,"",St. Nicholas Ave & W 126 St,1,In Service,false,34
3772,"",13,6,"","",2019-06-12T19:15:55.000-07:00,40.713811,"",-73.93515,"",Devoe St & Morgan Ave,"",Devoe St & Morgan Ave,1,In Service,false,19
3065,"",5,25,"","",2019-06-12T19:17:01.000-07:00,40.70029511,"",-73.95032283,"",Union Ave & Wallabout St,"",Union Ave & Wallabout St,1,In Service,false,31
3298,"",23,0,"","",2019-06-12T19:17:43.000-07:00,40.686371,"",-73.99383324,"",Warren St & Court St,"",Warren St & Court St,1,In Service,false,23
3304,"",19,8,"","",2019-06-12T19:17:34.000-07:00,40.668127,"",-73.98377641,"",6 Ave & 9 St,"",6 Ave & 9 St,1,In Service,false,27
3354,"",27,0,"","",2019-06-12T19:14:30.000-07:00,40.668132,"",-73.97363831,"",3 St & Prospect Park W,"",3 St & Prospect Park W,1,In Service,false,31
3579,"",7,18,"","",2019-06-12T19:16:53.000-07:00,40.672695,"",-73.954131,"",Sterling Pl & Bedford Ave,"",Sterling Pl & Bedford Ave,1,In Service,false,25
3593,"",1,33,"","",2019-06-12T19:16:55.000-07:00,40.761584,"",-73.925921,"",31 St & Broadway,"",31 St & Broadway,1,In Service,false,35
3286,"",11,24,"","",2019-06-12T19:17:06.000-07:00,40.7806284,"",-73.9521667,"",E 89 St & 3 Ave,"",E 89 St & 3 Ave,1,In Service,false,39
3404,"",27,0,"","",2019-06-12T19:16:50.000-07:00,40.6704922,"",-73.98541675,"",7 St & 5 Ave,"",7 St & 5 Ave,1,In Service,false,27
3609,"",6,17,"","",2019-06-12T19:16:36.000-07:00,40.7692475,"",-73.9354504,"",Vernon Blvd & 31 Ave,"",Vernon Blvd & 31 Ave,1,In Service,false,23
3725,"",9,32,"","",2019-06-12T19:16:13.000-07:00,40.7687620293096,"",-73.95840793848038,"",2 Ave & E 72 St,"",2 Ave & E 72 St,1,In Service,false,41
387,"",0,37,"","",2019-06-12T19:17:08.000-07:00,40.71273266,"",-74.0046073,"",Centre St & Chambers St,"",Centre St & Chambers St,1,In Service,false,39
